time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.30101749333e-07,-1.00239143039e-07,10.0075572938,6.28303417623,0.000260094350746,0.0,-2.86486875506e-05,-1.20681699615e-05,0.251887621672,-0.00810427474414,0.0118374938687,0.0,481.8397279219887,482.7335759080612,483.4078356710289,482.7969217433472
0.12000000000000001,-1.03513603297e-05,-5.94165731707e-06,10.0264425003,6.28260663445,0.000710133330945,0.0,-0.000368713591869,-0.000230912843805,0.377585380251,-0.00523699538165,-0.00301054731125,0.0,445.67255799588787,444.45742016767304,444.944065673911,445.178813369552
0.18,-4.75077628734e-05,-3.35118059098e-05,10.0531022906,6.28238074403,6.22906958192e-06,0.0,-0.000835736162722,-0.000716783463939,0.511023478249,-0.000971951988168,-0.0415507872615,0.0,449.49190497829204,446.35816370246584,447.00773094165027,447.3551712763151
0.23999999999999996,-8.99112875114e-05,-9.19212250773e-05,10.0849295726,6.28200085323,6.28138038693,0.0,-0.000383626992778,-0.00124771366138,0.54986757617,-0.0200999188562,-0.01385275725,0.0,416.05603392134077,418.4731458980444,418.2243117422887,416.55529069793096
0.3,-6.88977908953e-05,-0.000198751349704,10.1229005392,6.28058483905,6.28081928696,0.0,0.00116030594231,-0.00245842178165,0.715741277881,-0.0317264031429,-0.00160042144342,0.0,458.11344762738094,459.08662437273955,457.18768784421513,456.26047330232467
0.36000000000000004,5.3959453058e-05,-0.00041298432081,10.1708268024,6.27880679901,6.28125726143,0.0,0.00291085289237,-0.00488775235208,0.881686582772,-0.0257477460548,0.0208863709983,0.0,457.1041087956235,458.89227876189733,457.550273103671,458.0256869305942
0.4200000000000001,0.000268317644924,-0.000815388369341,10.2295468333,6.27756403926,6.28262036539,0.0,0.00408227926099,-0.00868471009518,1.07548490403,-0.0121778574055,0.0261511043802,0.0,465.89459116465025,466.3059979233108,466.40552140765936,467.46401773197283
0.48000000000000015,0.000520492882995,-0.00148854357592,10.3028152914,6.27658840694,0.00101290402431,0.0,0.00411850156017,-0.0138611156935,1.36649504977,-0.026022795883,0.0265884492067,0.0,494.7801890768738,494.81244919900564,495.63801795616445,494.6196639134782
0.5400000000000001,0.000738493878565,-0.00247379313187,10.3894501953,6.2750252391,0.00250377840181,0.0,0.00297830117383,-0.0191511854608,1.52114054307,-0.0261128594422,0.0211178909753,0.0,455.9489280873025,455.5117855471754,455.7697025934497,455.7623880779057
0.6000000000000002,0.0008512607864,-0.00382581046323,10.487174269,6.27401582094,0.003594939034,0.0,0.00064020183577,-0.026061408831,1.73602577004,-0.00278221377078,0.0115616348424,0.0,473.8553448595023,473.1201397932288,473.9701835224105,475.75975175851835
0.6600000000000003,0.000808172314695,-0.00559103911485,10.5955767392,6.27376995539,0.00423105317977,0.0,-0.00214760187266,-0.0327996877652,1.87716826696,-0.00686812668857,0.00860982891713,0.0,453.29033315153026,453.0529528253513,452.37049108795185,452.0414575973506
0.7200000000000003,0.000592330685468,-0.00774787043381,10.710439468,6.27301219182,0.00545368786868,0.0,-0.00513861831066,-0.039147380297,1.95146428725,-0.0278040950696,0.0371316206119,0.0,429.82860726216046,432.2388635385997,434.14159488826704,432.3815659913584
0.7800000000000004,0.00015287346587,-0.010330451368,10.8322212335,6.27179163593,0.00728771536945,0.0,-0.00973804104952,-0.0470916883212,2.10764992848,-0.00851985468734,0.0123041184875,0.0,459.2049041481761,457.23158248648895,457.06731774676354,458.6015246928886
0.8400000000000004,-0.000585865818647,-0.0133948381471,10.9618164899,6.27132765565,0.00809483012048,0.0,-0.014964538391,-0.0551023274483,2.21199441831,-0.00620396330212,0.0156539290243,0.0,441.6990197884969,441.97506421702997,443.2571689232072,443.44755315365273
0.9000000000000005,-0.00165101436245,-0.0169417062321,11.0970758433,6.27116917519,0.00928423507168,0.0,-0.0206462279764,-0.0631503425788,2.29648321781,0.00367161004055,0.0270747959043,0.0,435.6631688717669,436.6169913013516,436.9198611497042,437.7424494018145
0.9600000000000005,-0.00307850124355,-0.0209650882746,11.2367873171,6.27090788868,0.0116806050361,0.0,-0.0271373487209,-0.0709539379663,2.36043371556,-0.0296741060976,0.0577979899455,0.0,428.8319825720729,431.4345466825991,432.28595985116146,429.4669928071504
1.0200000000000005,-0.00498066674219,-0.0255024747024,11.3829759664,6.26920377306,0.0152345102453,0.0,-0.0366493096721,-0.0804791047656,2.51219232217,-0.0259721642194,0.0619541349457,0.0,458.0824380396154,458.4151455308782,458.2413226442556,458.5352988974845
1.0800000000000005,-0.00753213066181,-0.030646619259,11.5381764173,6.26802196341,0.0184995894434,0.0,-0.0487836309059,-0.0911346936647,2.66081282565,-0.00942802523058,0.0317513700945,0.0,459.5671727990986,457.1687216250067,457.08486498440715,458.4014105592457
1.1400000000000006,-0.0109187477958,-0.03648712029,11.7045450754,6.26714797325,0.0202940110807,0.0,-0.0643162361796,-0.103623779629,2.88426642291,-0.0275925612512,0.0259372948616,0.0,481.95011120806794,481.51068550026196,480.9093609911036,479.5316277010792
1.2000000000000006,-0.0153127248345,-0.0431295186655,11.8859354478,6.26550098201,0.0216359349625,0.0,-0.0823219999501,-0.117989287381,3.16134694632,-0.0271659969494,0.0140435069976,0.0,497.2215331549983,496.3494033626299,497.8965113145816,497.92762237165056
